Symbol,Company Name,Market Capitalization,Sector,Industry,Dividend Yield,Beta
ACMC,American Church Mortgage Company,1777620.00,,,7.55%,+0.3
ACMT,ACMAT CORP  -CL A,12432000.00,Financials,Insurance,--,-0.1
ACMTA,ACMAT Corporation,26745250.00,Financials,Insurance,--,-0.1
ACNB,ACNB Corporation,239201950.00,Financials,Banks,3.64%,+0.1
ACNI,"American Community Newspapers, Inc.",39480.00,Communication Services,Media,--,+2.1
ACNV,Accelera Innovations Inc,227940.00,,,--,+1.4
ACOR,Acorda Therapeutics Inc,37161440.00,Health Care,Biotechnology,--,+0.7
ACOSF,ARCHOS ACT NOM,14309520.00,,,--,+1.0
ACP,Aberdeen Income Credit Strategies Fund,187648510.00,,,11.30%,+1.1
ACPS,AC Partners Inc,102696701.05,Industrials,Building Products,--,--
ACRB,Asia Carbon Industries Inc,252260.00,Materials,Chemicals,--,-3.1
ACRE,Ares Commercial Real Estate Corp,390936980.00,Financials,Mortgage Real Estate Investment Trusts (REITs),11.21%,+1.4
ACRL,Atacama Resources International Inc,5795430.00,,,--,+1.6
ACRS,Aclaris Therapeutics Inc,158156510.00,Health Care,Pharmaceuticals,--,+1.0
ACRX,AcelRx Pharmaceuticals Inc,128478760.00,Health Care,Pharmaceuticals,--,+1.2
ACSEF,ACS Motion Control Ltd.,35437000.00,Information Technology,"Electronic Equipment, Instruments & Components",--,--
ACST,ACASTI PHARMA INC,25991550.00,Health Care,Pharmaceuticals,--,+1.7
ACSYF,ACCSYS TECHNOLOGIES PLC SHS NEW,160989500.00,,,--,+1.2
ACTG,Acacia Research Corp,178882770.00,Industrials,Professional Services,--,+0.8
ACTL,Artec Global Media Inc,244730.00,Communication Services,Media,--,-1.1
ACTX,Advanced Container Technologies Inc,137718900.00,Materials,Containers & Packaging,--,+0.7
ACU,Acme United Corporation,96296760.00,Industrials,Commercial Services & Supplies,1.64%,+1.1
ACUR,"Acura Pharmaceuticals, Inc.",5412500.00,Health Care,Pharmaceuticals,--,+0.8
ACUS,"Acusphere, Inc.",99020.00,Health Care,Pharmaceuticals,--,-0.2
ACV,Allianzgi Diversified Incm and Cnvrtb Fd,325833130.00,,,6.32%,+1.4
ACWRF,ACCELEWARE LTD,14973300.00,Information Technology,Software,--,+0.5
ACY,AeroCentury Corp.,3787700.00,Industrials,Trading Companies & Distributors,--,+2.5
ADAD,Adaiah Distribution Inc,8509860.00,,,--,+1.5
ADAP,Adaptimmune Therapeutics PLC - ADR,626700170.00,Health Care,Biotechnology,--,+2.4
ADBN,Americana Distribution Inc,0.00,Communication Services,Media,--,--
ADDXF,ADDEX THERAPEUTICS LTD SHS COM,44144100.00,,,--,+0.8
ADEC,Alternative Energy Development Corp,6680.00,Consumer Discretionary,Auto Components,--,--
ADES,Advanced Emissions Solutions Inc,102941400.00,Materials,Chemicals,--,+0.9
ADFJF,ADF GROUP INC,16019400.00,Materials,Metals & Mining,1.71%,+1.3
ADFS,American Defense Systems Inc,4411870.00,Industrials,Aerospace & Defense,--,+0.7
